name,n_estimators,max_depth,learning_rate,subsample,RMSPE,RMSE,MAE,TrainTime_s
Config 1 (referencia NB05),200,6,0.1,1.0,0.3362184471741971,1096.7371587853575,763.9773728072278,14.502145767211914
Config 2 (más profundo),200,10,0.1,1.0,0.3471323041965946,1193.9119339223312,787.5697350507775,29.122356176376343
Config 3 (lr bajo + más árboles),400,8,0.05,1.0,0.34193243255081274,1212.183799378736,804.0502904141127,34.59558343887329
Config 4 (regularización por subsample),400,8,0.05,0.8,0.3427312894986448,1185.6758865470092,791.5647371437005,36.986252307891846
Config 5 (config agresiva),600,10,0.03,0.8,0.3434751205440554,1183.7686526386042,781.6965045368275,75.24237775802612
